Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_mel_N16_F25_O75_FL0p02,mel,16,25,75,0.02,1,0.5387,0.5265,0.5326,1.674,0.7199,8.5641,2.6327
mband_mel_N16_F25_O75_FL0p2,mel,16,25,75,0.2,1,0.5186,0.5714,0.545,1.5061,0.7303,7.6439,2.8571
mband_mel_N16_F8_O25_FL0p001,mel,16,8,25,0.001,1,0.5089,0.5082,0.5085,1.4926,0.709,7.1134,2.5409
mband_mel_N16_F8_O25_FL0p02,mel,16,8,25,0.02,1,0.5117,0.5012,0.5064,1.4943,0.717,7.1893,2.5058
mband_mel_N16_F8_O25_FL0p2,mel,16,8,25,0.2,1,0.5038,0.5663,0.535,1.426,0.7235,6.6795,2.8315
mband_mel_N16_F8_O50_FL0p001,mel,16,8,50,0.001,1,0.5223,0.4671,0.4947,1.5834,0.7112,7.6898,2.3357
mband_mel_N16_F8_O50_FL0p02,mel,16,8,50,0.02,1,0.5229,0.5063,0.5146,1.5749,0.7165,7.7044,2.5315
mband_mel_N16_F8_O50_FL0p2,mel,16,8,50,0.2,1,0.5107,0.5547,0.5327,1.4694,0.7236,7.1846,2.7733
mband_mel_N16_F8_O75_FL0p001,mel,16,8,75,0.001,1,0.5183,0.4879,0.5031,1.563,0.7075,7.5438,2.4397
mband_mel_N16_F8_O75_FL0p02,mel,16,8,75,0.02,1,0.5185,0.4715,0.495,1.5551,0.7119,7.4997,2.3574
mband_mel_N16_F8_O75_FL0p2,mel,16,8,75,0.2,1,0.5099,0.5245,0.5172,1.465,0.7231,7.1452,2.6223
mband_mel_N4_F20_O25_FL0p001,mel,4,20,25,0.001,1,0.5153,0.5649,0.5401,1.5352,0.7151,6.9714,2.8244
mband_mel_N4_F20_O25_FL0p02,mel,4,20,25,0.02,1,0.517,0.5809,0.549,1.5421,0.7197,6.8011,2.9047
mband_mel_N4_F20_O25_FL0p2,mel,4,20,25,0.2,1,0.5011,0.5754,0.5383,1.4245,0.7224,6.019,2.8772
