config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N16_F20_O50_FL0p3,62.832517862319946,hybrid,mel,16,20,50,3,0.3,1,1
mband_mel_N16_F20_O50_FL0p5,58.08168959617615,hybrid,mel,16,20,50,3,0.5,1,1
mband_mel_N16_F20_O50_FL0p7,62.73736214637756,hybrid,mel,16,20,50,3,0.7,1,1
mband_mel_N16_F20_O50_FL0p8,62.200045585632324,hybrid,mel,16,20,50,3,0.8,1,1
mband_mel_N16_F20_O75_FL0p001,83.56549286842346,hybrid,mel,16,20,75,1,0.001,1,1
mband_mel_N16_F20_O75_FL0p3,81.88909602165222,hybrid,mel,16,20,75,1,0.3,1,1
mband_mel_N16_F20_O75_FL0p5,84.59560632705688,hybrid,mel,16,20,75,1,0.5,1,1
mband_mel_N16_F20_O75_FL0p7,83.71240401268005,hybrid,mel,16,20,75,1,0.7,1,1
mband_mel_N16_F20_O75_FL0p8,81.29693031311035,hybrid,mel,16,20,75,1,0.8,1,1
mband_mel_N16_F20_O75_FL0p001,85.67177271842957,hybrid,mel,16,20,75,3,0.001,1,1
mband_mel_N16_F20_O75_FL0p3,84.62608098983765,hybrid,mel,16,20,75,3,0.3,1,1
mband_mel_N16_F20_O75_FL0p5,81.88298654556274,hybrid,mel,16,20,75,3,0.5,1,1
mband_mel_N16_F20_O75_FL0p7,84.3784556388855,hybrid,mel,16,20,75,3,0.7,1,1
mband_mel_N16_F20_O75_FL0p8,82.02226281166077,hybrid,mel,16,20,75,3,0.8,1,1
mband_mel_N16_F25_O25_FL0p001,51.22446584701538,hybrid,mel,16,25,25,1,0.001,1,1
mband_mel_N16_F25_O25_FL0p3,50.701716899871826,hybrid,mel,16,25,25,1,0.3,1,1
mband_mel_N16_F25_O25_FL0p5,50.06113004684448,hybrid,mel,16,25,25,1,0.5,1,1
mband_mel_N16_F25_O25_FL0p7,51.551069259643555,hybrid,mel,16,25,25,1,0.7,1,1
mband_mel_N16_F25_O25_FL0p8,52.05056881904602,hybrid,mel,16,25,25,1,0.8,1,1
mband_mel_N16_F25_O25_FL0p001,50.13181114196777,hybrid,mel,16,25,25,3,0.001,1,1
mband_mel_N16_F25_O25_FL0p3,49.430617332458496,hybrid,mel,16,25,25,3,0.3,1,1
mband_mel_N16_F25_O25_FL0p5,50.301286458969116,hybrid,mel,16,25,25,3,0.5,1,1
mband_mel_N16_F25_O25_FL0p7,49.00539994239807,hybrid,mel,16,25,25,3,0.7,1,1
mband_mel_N16_F25_O25_FL0p8,52.73100519180298,hybrid,mel,16,25,25,3,0.8,1,1
mband_mel_N16_F25_O50_FL0p001,56.03436779975891,hybrid,mel,16,25,50,1,0.001,1,1
mband_mel_N16_F25_O50_FL0p3,55.635668992996216,hybrid,mel,16,25,50,1,0.3,1,1
mband_mel_N16_F25_O50_FL0p5,55.061941623687744,hybrid,mel,16,25,50,1,0.5,1,1
mband_mel_N16_F25_O50_FL0p7,55.47606825828552,hybrid,mel,16,25,50,1,0.7,1,1
mband_mel_N16_F25_O50_FL0p8,57.93963360786438,hybrid,mel,16,25,50,1,0.8,1,1
mband_mel_N16_F25_O50_FL0p001,53.959391593933105,hybrid,mel,16,25,50,3,0.001,1,1
